SCRIP_CD,Scrip_Name,Status,GROUP,FACE_VALUE,ISIN_NUMBER,INDUSTRY,scrip_id,Segment,NSURL,Issuer_Name,Mktcap
513496,Sizemasters Technology Ltd,Active,XT,10.00,INE235U01012,Zinc,SIZEMASTER,Equity,https://www.bseindia.com/stock-share-price/sizemasters-technology-ltd/sizemaster/513496/,SIZEMASTERS TECHNOLOGY LIMITED,90.09
513498,SOUTHERN MAGNESIUM & CHEMICALS LTD.,Active,XT,10.00,INE308N01012,Industrial Minerals,SOUTHMG,Equity,https://www.bseindia.com/stock-share-price/southern-magnesium--chemicals-ltd/southmg/513498/,Southern Magnesium And Chemicals Lt,73.50
513500,CHARMINAR STEELS LTD.,Delisted,Z,10.00,NA,,CHARMST,Equity,https://www.bseindia.com/stock-share-price/charminar-steels-ltd/charmst/513500/,Charminar Steels Ltd.,
513502,BARODA EXTRUSION LTD.,Active,X,1.00,INE927K01023,Aluminium- Copper & Zinc Products,BAROEXT,Equity,https://www.bseindia.com/stock-share-price/baroda-extrusion-ltd/baroext/513502/,Baroda Extrusion Ltd.,50.53
513504,JAY AGROCHEM LTD.,Delisted,Z,10.00,NA,,JAYAGRO,Equity,https://www.bseindia.com/stock-share-price/jay-agrochem-ltd/jayagro/513504/,Jay Agrochem Ltd.,
513505,STAR PRECISION ELECTRONICS (INDIA) LTD.,Delisted,P,10.00,NA,,STARELE,Equity,https://www.bseindia.com/stock-share-price/star-precision-electronics-(india)-ltd/starele/513505/,Star Precision Electronics (India),
513507,GUJARAT CONTAINERS LTD.,Active,P,10.00,INE276I01011,Packaging,GUJCONT,Equity,https://www.bseindia.com/stock-share-price/gujarat-containers-ltd/gujcont/513507/,Gujarat Containers Ltd.,98.98
513509,KALYANI FORGE LTD.,Active,T,10.00,INE314G01014,Castings & Forgings,KALYANIFRG,Equity,https://www.bseindia.com/stock-share-price/kalyani-forge-ltd/kalyanifrg/513509/,Kalyani Forge Ltd.,163.71
513511,PANCHMAHAL STEEL LTD.,Active,X,10.00,INE798F01010,Iron & Steel Products,PANCHMAHQ,Equity,https://www.bseindia.com/stock-share-price/panchmahal-steel-ltd/panchmahq/513511/,Panchmahal Steel Ltd.,288.27
513513,ADITYA ISPAT LTD.,Active,X,10.00,INE570B01012,Iron & Steel Products,ADITYA,Equity,https://www.bseindia.com/stock-share-price/aditya-ispat-ltd/aditya/513513/,Aditya Ispat Ltd.,5.78
513515,S.R.INDUSTRIES LTD.,Active,Z,10.00,INE329C01011,Footwear,SRIND,Equity,https://www.bseindia.com/stock-share-price/srindustries-ltd/srind/513515/,S.R.Industries Ltd.,3.32
513517,STEELCAST LTD.,Active,B,5.00,INE124E01020,Castings & Forgings,STEELCAS,Equity,https://www.bseindia.com/stock-share-price/steelcast-ltd/steelcas/513517/,Steelcast Ltd.,1405.57
513519,Pitti Engineering Ltd-$,Active,B,5.00,INE450D01021,Industrial Products,PITTIENG,Equity,https://www.bseindia.com/stock-share-price/pitti-engineering-ltd/pittieng/513519/,PITTI ENGINEERING LIMITED,2235.17
513523,PUNJAB IRON & STEEL CO.LTD.,Delisted,Z,10.00,NA,,PUNIRST,Equity,https://www.bseindia.com/stock-share-price/punjab-iron--steel-coltd/punirst/513523/,Punjab Iron & Steel Co. Ltd.,
513526,SHREEJI INDUSTRIES LTD.,Delisted,P,10.00,NA,,SHREGRN,Equity,https://www.bseindia.com/stock-share-price/shreeji-industries-ltd/shregrn/513526/,Shreeji Industries Ltd.,
